Tweet_ID,Tweet_Length_Words,Tweet_Length_Chars,Tweet_Punctuation_Count,Tweet_Has_URL,Tweet_Has_Short_URL,Tweet_Has_Emoji,Tweet_Has_User_Mentions,Tweet_Num_Mentions,Tweet_Num_Hashtags,Tweet_Num_Likes,Tweet_Num_Retweets,Tweet_Num_Replies,Tweet_Compound_Score,Tweet_Is_Reply,User_Time_on_Twitter,User_Followers,User_Friends,User_Is_Verified,User_Handle_Has_Number
973115964031193089,12,102,12,1,1,0,0,0,2,1,1,0,0.0,0,46,35,35,0,0
978398267502297088,42,295,15,1,1,1,0,0,5,1,1,0,0.9418,0,45,944,944,0,0
973287548540813314,26,205,15,1,1,0,1,1,4,47,12,0,0.0,0,124,61213,61213,0,0
973310189964230661,27,203,18,1,1,0,1,1,4,1,1,0,0.0,0,124,61211,61211,0,0
973050910694834176,28,214,14,1,1,0,1,2,4,0,1,0,0.0,0,51,61,61,0,0
974311278419349509,9,84,9,1,1,0,1,1,2,0,1,0,0.0,0,92,1061,1061,0,0
974311857757487104,18,150,10,1,1,0,0,0,4,0,1,0,0.0,0,124,10467,10467,0,0
974313021806751745,49,308,14,1,1,0,0,0,0,0,1,0,-0.2003,0,24,591,591,0,1
970401200528076800,39,302,16,1,1,0,1,1,10,0,1,0,-0.8271,0,21,622,622,0,0
976066330821648384,45,304,16,1,1,0,1,1,5,38,26,0,0.4753,0,101,1277,1277,0,0
976682316519976960,27,209,15,1,1,0,1,1,2,0,1,0,0.0,0,119,17829,17829,1,0
975794962729193472,34,250,12,1,1,0,1,1,2,6,2,0,-0.2023,0,103,7310,7310,0,0
969533973666959360,85,923,74,1,1,0,1,50,2,3,1,0,-0.9,1,26,379,379,0,0
977850102307016704,34,307,21,1,1,0,1,7,4,1,1,0,0.34,0,58,219,219,0,0
821385400132452352,24,163,13,1,1,0,1,1,1,20,13,1,0.6413,0,32,404,404,0,0
970151819732070400,12,125,9,1,1,0,0,0,4,1,1,0,0.0,0,120,2690,2690,0,0
976594400389337088,24,196,13,1,1,0,0,0,4,2,1,0,-0.4767,0,91,3725,3725,0,0
977201170031681537,28,220,9,1,1,0,0,0,1,1,1,0,-0.3818,0,88,3441,3441,0,0
977198925269540864,13,111,9,1,1,0,0,0,2,1,1,0,0.0,0,131,1157,1157,0,1
977192754148192256,18,137,7,0,0,0,0,0,3,1,1,0,0.0,0,64,219,219,0,0
968868414361079808,20,185,22,1,1,0,1,2,4,0,1,0,0.6239,0,112,911,911,0,0
968860129121722368,18,171,20,1,1,0,1,1,4,14,7,0,0.6239,0,115,35278,35278,1,0
978736941226254339,49,302,9,1,1,0,0,0,0,22,10,1,-0.3182,0,97,2700,2700,0,0
978682881030656000,11,104,7,1,1,0,0,0,1,15,8,0,0.4215,0,104,10691,10691,0,0
970051476721553408,7,73,6,1,1,0,0,0,0,0,1,0,0.3612,0,74,1829,1829,0,0
973522188241461248,28,191,12,1,1,0,1,1,1,2,1,0,0.0,0,83,199,199,0,0
978353530175213568,20,178,14,1,1,0,1,1,6,0,1,0,-0.1695,0,26,105,105,0,0
974270667368615936,8,82,7,1,1,0,0,0,1,0,1,0,-0.5829,0,66,748,748,0,0
974379819575070721,31,280,20,1,1,0,1,2,3,0,1,0,-0.4404,0,112,5853,5853,0,0
974274627584245760,37,287,34,1,1,0,0,0,13,3,1,0,-0.6843,0,125,788922,788922,0,0
970292773160013824,57,621,57,1,1,0,1,30,5,0,1,0,-0.9125,1,32,3655,3655,0,0
976179101332582400,12,117,9,1,1,0,0,0,4,10,10,0,0.0,0,33,223,223,0,1
976081483956965377,15,131,11,1,1,0,0,0,4,6,2,0,0.0,0,33,223,223,0,1
974986867018993664,19,159,10,1,1,0,0,0,4,2,3,1,-0.6597,0,33,223,223,0,1
973874278406991873,17,143,13,1,1,0,0,0,6,0,1,0,-0.4215,0,33,223,223,0,1
973522564139110400,11,98,9,1,1,0,0,0,4,0,1,0,-0.5574,0,33,223,223,0,1
971346146030321664,18,149,11,1,1,0,0,0,5,1,1,0,0.0,0,33,223,223,0,1
971337909969215488,15,114,9,1,1,0,0,0,4,1,1,0,-0.4215,0,33,223,223,0,1
972480143942963200,15,134,9,1,1,0,0,0,4,1,1,0,0.0,0,33,226,226,0,1
972483971929001984,19,154,13,1,1,0,1,1,3,0,1,0,0.9081,0,115,35417,35417,1,0
978760665283350528,42,300,13,1,1,0,1,1,0,13,5,3,-0.4913,0,46,733,733,0,0
968931711223508992,22,165,10,1,1,0,0,0,2,10,16,1,-0.4939,0,81,5661,5661,0,1
974242650466369536,47,335,22,1,1,0,1,2,5,0,1,0,-0.6408,1,125,788924,788924,0,0
974254707890905089,16,115,8,1,1,0,1,1,2,0,1,0,-0.7579,0,104,10558,10558,0,0
977903429099061249,21,167,14,1,1,0,0,0,6,8,3,0,0.0,0,107,4059,4059,0,0
969990639717789696,35,246,12,1,1,0,0,0,1,2,1,0,-0.6874,0,114,1997,1997,0,0
977368660661727232,12,83,4,0,0,0,1,2,0,0,1,0,-0.4939,1,89,32360,32360,1,1
977284019028152322,42,275,14,1,1,0,1,4,1,13,6,0,-0.0387,0,91,438,438,0,0
977515602922409984,14,116,9,1,1,0,0,0,2,1,1,0,0.0772,0,45,1285,1285,0,0
969413640251105280,37,256,15,1,1,0,1,2,1,1,1,0,-0.765,1,28,3,3,0,0
969414528596406272,8,78,10,1,1,0,0,0,4,1,1,0,0.0,0,131,124785,124785,0,0
969414513689874432,8,78,10,1,1,0,0,0,4,0,1,0,0.0,0,56,3203,3203,0,0
970440625987334145,22,176,9,1,1,0,0,0,0,2,1,1,-0.4767,0,119,17723,17723,1,0
972429107760975877,33,230,12,1,1,0,0,0,3,0,1,0,-0.8338,0,53,11073,11073,1,0
970690599555825667,17,125,8,1,1,0,0,0,2,0,1,0,-0.296,0,131,126629,126629,0,0
973004011916988417,31,193,5,0,0,0,1,1,0,0,1,0,0.5704,1,25,3850,3850,0,0
973000748601458688,31,248,18,1,1,0,1,1,8,2,1,0,0.8625,0,27,430,430,0,0
971601451591131138,14,81,1,0,0,0,0,0,0,0,1,0,-0.4019,0,20,185,185,0,1
969937168889245696,14,102,8,1,1,1,1,1,1,0,1,0,0.4404,0,121,1330,1330,0,0
973570813478629377,37,240,13,0,0,0,1,1,0,5,1,0,-0.743,1,33,40,40,0,0
971799305974665216,48,293,9,1,1,1,0,0,0,8,3,1,0.4404,0,89,3632,3632,0,0
973806839266766848,37,274,11,1,1,0,0,0,0,0,1,0,0.0772,0,118,21747,21747,0,0
968570424199122944,11,102,8,1,1,0,1,1,1,9,13,5,-0.2023,0,137,21625,21625,1,0
977959601030205440,9,68,4,0,0,0,1,2,0,2,1,0,0.0,1,125,818,818,0,0
971199734567374848,50,297,8,0,0,0,1,2,0,1,1,0,-0.0772,1,61,88,88,0,0
970672585057988609,22,243,23,1,1,0,1,3,14,0,1,0,0.0,0,81,3763,3763,0,0
969745837059465218,18,146,9,1,1,0,1,1,2,1,1,0,0.0,0,85,10924,10924,0,0
976560849220284416,36,225,10,1,1,0,0,0,0,51,3,4,-0.3447,0,15,1527,1527,0,0
976835288692613121,34,250,10,1,1,0,1,1,0,1,1,0,0.1531,0,108,786,786,0,0
977127342127673344,13,113,10,1,1,0,0,0,0,3,1,0,-0.5719,0,99,10259,10259,0,0
967989246131781635,13,97,10,1,1,0,0,0,0,433,101,12,-0.2212,0,84,23459,23459,0,1
970298684230561792,43,275,18,0,0,0,0,0,1,43,1,1,-0.9509,0,29,2626,2626,0,0
973323544691167233,48,297,21,1,1,0,0,0,0,0,1,0,0.6543,0,87,205,205,0,1
977161989637263360,36,303,18,1,1,0,1,3,2,16,1,5,0.6828,0,92,30002,30002,1,0
978104295341031425,14,100,9,1,1,0,0,0,4,1,1,0,0.0,0,45,1284,1284,0,0
973297224988807168,27,166,7,0,0,0,0,0,0,0,1,0,-0.6377,0,72,461,461,0,0
971758888872587265,34,235,13,1,1,0,1,3,2,0,1,0,0.2023,0,83,2801,2801,0,0
970328020346011648,18,150,9,1,1,0,0,0,0,0,1,0,-0.4588,0,99,12710,12710,0,0
970133212881186816,28,179,7,0,0,0,0,0,0,0,1,0,0.0,0,39,181,181,0,0
973350264056045568,34,268,10,0,0,0,0,0,0,0,1,0,-0.4588,0,128,260,260,0,0
971284951026094080,53,323,8,0,0,0,1,3,0,0,1,0,-0.5106,1,77,797,797,0,1
969006833158578176,11,88,9,1,1,0,0,0,3,49,41,0,-0.516,0,131,124761,124761,0,0
971307645754847233,18,150,13,1,1,0,0,0,5,0,1,0,0.4404,0,124,9092,9092,0,0
972349848040034304,37,236,13,1,1,0,0,0,0,1,1,1,-0.9062,0,106,368,368,0,1
972372160688738306,28,215,13,1,1,0,1,1,4,2,1,0,0.1779,0,99,1158,1158,0,0
972381652604411904,16,137,11,1,1,0,0,0,3,0,1,0,0.5719,0,56,3286,3286,0,0
972381627883163648,16,137,11,1,1,0,0,0,3,0,1,0,0.5719,0,131,127368,127368,0,0
972049587396661248,14,129,10,1,1,0,0,0,2,0,1,0,-0.7269,0,131,127311,127311,0,0
973685531719516160,24,299,22,1,1,0,1,4,8,0,1,0,-0.4404,1,43,900,900,0,0
973659697843548160,48,275,11,0,0,0,1,1,1,3,1,1,-0.308,1,18,58,58,0,0
970690904527863810,17,125,8,1,1,0,0,0,2,0,1,0,-0.296,0,56,3239,3239,0,0
970569637174837248,12,100,10,1,1,0,0,0,2,0,1,0,-0.5413,0,56,3239,3239,0,0
977582581888659461,44,277,8,0,0,0,0,0,2,2,1,1,0.0423,0,52,780,780,0,1
